[2017-09-22 17:01:23.577] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:02:05.245] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:03:41.513] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:04:40.915] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:16:31.134] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:20:17.623] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:55:49.848] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:56:30.805] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:56:51.999] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-22 17:57:47.042] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-23 14:55:18.688] [INFO] sqlite - Executing (default): SELECT 1+1 AS result
[2017-09-23 14:55:20.486] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.487] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.487] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.488] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.488] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.488] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.489] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.489] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.490] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.490] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.491] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.492] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.492] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.492] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.493] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.493] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.494] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.494] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.495] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.495] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.551] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
[2017-09-23 14:55:20.552] [INFO] sqlite - Executing (default): CREATE TABLE IF NOT EXISTS `comments` (`id` INTEGER PRIMARY KEY AUTOINCREMENT, `time` VARCHAR(255), `score` INTEGER);
